alpha,mean_cos_sim,beta,mean_mse
0.0,0.6679719455571937,0.0,0.0032222246810048785
0.1,0.7303634348625123,0.1,0.002307573312343965
0.2,0.7938978392976584,0.2,0.0015845523817476545
0.30000000000000004,0.8520351674800591,0.30000000000000004,0.0010531618892159452
0.4,0.8950815498030676,0.4,0.0007134018347488382
0.5,0.9128957848712733,0.5,0.000565272218346333
0.6000000000000001,0.9003492524888428,0.6000000000000001,0.0006087730400084299
0.7000000000000001,0.8609694207025878,0.7000000000000001,0.0008439042997351283
0.8,0.8044373847757361,0.8,0.001270665997526429
0.9,0.7409516115270345,0.9,0.001889058133382331
1.0,0.6777713628927228,1.0,0.0026990807073028348
